Exposure 	ASX Code	Type	iNAV	Benchmark	Investment Style	Management Cost %	Outperf' Fee	Admission Date
BetaShares Australia 200 ETF	A200	ETF	Yes
ASX: YA20	Solactive Australia 200 Index	Index Tracking	0.04	No	8/05/2018
Dimensional Australian Core Equity Trust (Managed Fund)	DACE	ETF	No	S&P/ASX 300 Index (Total Return)	Performance compared to benchmark	0.28	No	13/11/2023
iShares S&P/ASX 20 ETF	ILC	ETF	No	S&P/ASX Accumulation 20 Index	Index Tracking	0.24	No	9/12/2010
Intelligent Investor Australian Equity Income Fund (Managed Fund)	INIF	ETF	Yes
IRESS: INIFINAV.ETF	Benchmark Unaware	Benchmark Unaware	0.97	No	19/06/2018
iShares Core S&P/ASX 200 ETF	IOZ	ETF	No	S&P/ASX 200 Index	Index Tracking	0.05	No	9/12/2010
VanEck Australian Equal Weight ETF	MVW	ETF	Yes
ASX: YMVW	Market Australia Equal Weight Index	Index Tracking	0.35	No	6/03/2014
BetaShares FTSE RAFI Australia 200 ETF	QOZ	ETF	Yes
ASX: YQOZ	FTSE RAFI Australia 200 Index	Index Tracking	0.4	No	11/07/2013
SPDR S&P/ASX 50	SFY	ETF	Yes
ASX: YSFY	S&P/ASX 50 Index	Index Tracking	0.286	No	27/08/2001
SPDR S&P/ASX 200 	STW	ETF	Yes
ASX: YSTW	Track S&P/ASX 200 Index	Index Tracking	0.05	No	27/08/2001
Vanguard Australian Shares Index ETF	VAS	ETF	Yes	S&P/ASX 300 Index	Index Tracking	0.07	No	8/05/2009
Vanguard MSCI Australian Large Companies Index ETF	VLC	ETF	Yes	MSCI Australian Shares Large Cap Index	Index Tracking	0.2	No	26/05/2011
